-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::index         0.61%       2.894ms         2.42%      11.422ms      96.801us     237.471us         0.05%     352.573us       2.988us           118  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     219.487us         0.04%     219.487us       7.839us            28  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     213.214us         0.04%     213.214us       1.838us           116  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     182.883us         0.04%     182.883us       1.069us           171  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     152.413us         0.03%     152.413us       2.540us            60  
                                              aten::add         0.31%       1.484ms         0.52%       2.476ms      14.230us     143.075us         0.03%     143.075us       0.822us           174  
                  _C_cache_ops::reshape_and_cache_flash         0.10%     482.531us         0.21%     970.271us      17.326us     137.024us         0.03%     137.024us       2.447us            56  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     130.433us         0.03%     130.433us       2.249us            58  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     121.919us         0.02%     121.919us       2.102us            58  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     114.754us         0.02%     114.754us       1.007us           114  
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      95.936us         0.02%      95.936us       1.654us            58  
                                  cudaStreamIsCapturing         0.10%     486.396us         0.10%     486.396us       0.585us      95.135us         0.02%      95.135us       0.114us           831  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      91.868us         0.02%      91.868us       1.584us            58  
                                     aten::masked_fill_         0.13%     620.883us         0.24%       1.117ms      19.260us      86.720us         0.02%      86.720us       1.495us            58  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      86.720us         0.02%      86.720us       1.521us            57  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      77.410us         0.02%      77.410us       1.382us            56  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      75.365us         0.01%      75.365us       1.299us            58  
                                               aten::eq         0.27%       1.279ms         0.43%       2.023ms      34.887us      74.432us         0.01%      74.432us       1.283us            58  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      74.432us         0.01%      74.432us       1.306us            57  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      67.710us         0.01%      67.710us       1.167us            58  
