-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us     491.651us         0.08%     491.651us      17.559us            28  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     456.902us         0.07%     456.902us       0.572us           799  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     426.971us         0.07%     426.971us       7.624us            56  
                                            aten::index         0.81%       4.632ms         2.81%      16.166ms      82.062us     394.203us         0.06%     581.208us       2.950us           197  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     346.427us         0.06%     346.427us       1.767us           196  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us     317.724us         0.05%     317.724us       3.242us            98  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     306.273us         0.05%     306.273us       1.049us           292  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     254.527us         0.04%     254.527us       2.571us            99  
                                              aten::add         0.44%       2.506ms         0.73%       4.190ms      14.251us     235.904us         0.04%     235.904us       0.802us           294  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     217.823us         0.03%     217.823us       2.223us            98  
                  triton_red_fused_fused_add_rms_norm_3         0.00%       0.000us         0.00%       0.000us       0.000us     206.561us         0.03%     206.561us       2.108us            98  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     190.432us         0.03%     190.432us       0.987us           193  
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     159.616us         0.03%     159.616us       1.629us            98  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     153.628us         0.02%     153.628us       1.568us            98  
                                     aten::masked_fill_         0.16%     895.668us         0.31%       1.789ms      18.259us     146.528us         0.02%     146.528us       1.495us            98  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     146.528us         0.02%     146.528us       1.511us            97  
